VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A013355,Piperazine Citrate Worm Tablets,Ayrton Saunders Limited,16431/3003,2022-11-29,National,Northern Ireland,Piperazine Citrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2443266.PDF
A006440,Forthyron 200 Microgram Tablet,Eurovet Animal Health B.V.,16849/4005,2019-11-04,Mutually Recognised,,L Thyroxine Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126463.PDF
A006441,Forthyron 400 Microgram Tablet,Eurovet Animal Health B.V.,16849/4006,2019-11-04,Mutually Recognised,,L Thyroxine Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126465.PDF
A008923,Primazym 40000 Ph. Eur. U. Capsules for Dogs,Eurovet Animal Health B.V.,16849/4050,2021-04-08,National,United Kingdom,Pancreatin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_972979.PDF
A006343,Hipracox Broilers Oral Suspension for Chickens,Laboratorios Hipra Sa,17533/4004,2023-05-22,National,Great Britain,"Eimeria acervulina, Eimeria maxima, Eimeria mitis, Eimeria praecox, Eimeria tenella",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_156188.PDF
A011982,Hipracox Broilers Oral Suspension for Chickens,Laboratorios Hipra Sa,17533/4004,2023-05-22,Mutually Recognised,Northern Ireland,"Eimeria acervulina, Eimeria maxima, Eimeria mitis, Eimeria praecox, Eimeria tenella",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_156188.PDF
A007056,Hipracox Broilers Spray,Laboratorios Hipra SA,17533/4008,2023-05-22,National,Great Britain,"Eimeria acervulina, Eimeria maxima, Eimeria mitis, Eimeria praecox, Eimeria tenella",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_182949.PDF
A011983,Hipracox Broilers Spray,Laboratorios Hipra SA,17533/4008,2023-05-22,Mutually Recognised,Northern Ireland,"Eimeria acervulina, Eimeria maxima, Eimeria mitis, Eimeria praecox, Eimeria tenella",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_182949.PDF
A012467,SELECTAN ORAL 23 mg/ml Solution for Use in Drinking Water for Pigs,Laboratorios Hipra SA,17533/4014,2021-12-06,Mutually Recognised,Northern Ireland,Florfenicol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318541.PDF
A007919,SELECTAN ORAL 23 mg/ml Solution for Use in Drinking Water for Pigs,Laboratorios Hipra SA,17533/4014,2021-12-06,National,Great Britain,Florfenicol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318541.PDF
A009219,Fipralone Duo 100 mg/120 mg Spot-on Solution for Very Large Cats,Alfamed,17902/4095,2019-11-25,Mutually Recognised,,"Fipronil, Pyriproxyfen",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836625.PDF
A012246,Perfikan 134 mg/1200 mg Spot-on Solution for Medium Dogs,Alfamed,17902/4096,2020-07-08,Mutually Recognised,Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992278.PDF
A009479,Perfikan 134 mg/1200 mg Spot-on Solution for Medium Dogs,Alfamed,17902/4096,2020-07-08,National,Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992278.PDF
A009482,Perfikan 26.8 mg/240 mg Spot-on Solution for Very Small Dogs,Alfamed,17902/4097,2020-07-08,National,Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992357.PDF
A012247,Perfikan 26.8 mg/240 mg Spot-on Solution for Very Small Dogs,Alfamed,17902/4097,2020-07-08,Mutually Recognised,Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992357.PDF
A012249,Perfikan 402 mg/3600 mg Spot-on Solution for Very Large Dogs,Alfamed,17902/4098,2020-07-08,Mutually Recognised,Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992649.PDF
A009484,Perfikan 402 mg/3600 mg Spot-on Solution for Very Large Dogs,Alfamed,17902/4098,2020-07-08,National,Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992649.PDF
A009485,Perfikan 268 mg/2400 mg Spot-on Solution for Large Dogs,Alfamed,17902/4099,2020-07-08,National,Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992548.PDF
A012248,Perfikan 268 mg/2400 mg Spot-on Solution for Large Dogs,Alfamed,17902/4099,2020-07-08,Mutually Recognised,Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992548.PDF
A012250,Perfikan 67 mg/600 mg Spot-on Solution for Small Dogs,Alfamed,17902/4100,2020-07-08,Mutually Recognised,Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992689.PDF
A009478,Perfikan 67 mg/600 mg Spot-on Solution for Small Dogs,Alfamed,17902/4100,2020-07-08,National,Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_992689.PDF
A010021,Fiprofile 26.8 mg/240 mg Spot-on Solution for Very Small Dogs,Alfamed,17902/4104,2022-11-29,National (Informed Consent),Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392694.PDF
A011853,Fiprofile 26.8 mg/240 mg Spot-on Solution for Very Small Dogs,Alfamed,17902/4104,2022-11-29,Mutually Recognised (Informed Consent),Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392694.PDF
A011856,Fiprofile 67 mg/600 mg Spot-on Solution for Small Dogs,Alfamed,17902/4105,2022-11-29,Mutually Recognised (Informed Consent),Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392729.PDF
A010022,Fiprofile 67 mg/600 mg Spot-on Solution for Small Dogs,Alfamed,17902/4105,2022-11-29,National (Informed Consent),Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392729.PDF
A010023,Fiprofile 134 mg/1200 mg Spot-on Solution for Medium Dogs,Alfamed,17902/4106,2022-11-29,National (Informed Consent),Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392750.PDF
A011852,Fiprofile 134 mg/1200 mg Spot-on Solution for Medium Dogs,Alfamed,17902/4106,2022-11-29,Mutually Recognised (Informed Consent),Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392750.PDF
A011854,Fiprofile 268 mg/2400 mg Spot-on Solution for Large Dogs,Alfamed,17902/4107,2022-11-29,Mutually Recognised (Informed Consent),Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392808.PDF
A010024,Fiprofile 268 mg/2400 mg Spot-on Solution for Large Dogs,Alfamed,17902/4107,2022-11-29,National (Informed Consent),Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392808.PDF
A010025,Fiprofile 402 mg/3600 mg Spot-on Solution for Very Large Dogs,Alfamed,17902/4108,2022-11-29,National (Informed Consent),Great Britain,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392824.PDF
A011855,Fiprofile 402 mg/3600 mg Spot-on Solution for Very Large Dogs,Alfamed,17902/4108,2022-11-29,Mutually Recognised (Informed Consent),Northern Ireland,"Fipronil, Permethrin (Cis:Trans 40:60)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1392824.PDF
A004958,"Pigzin Premix, 100% w/w Premix for Medicated Feeding Stuff",DSM Nutritional Products (UK) Ltd,19108/4000,2022-08-19,National,Great Britain,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_97775.PDF
A012285,"Pigzin Premix, 100% w/w Premix for Medicated Feeding Stuff",DSM Nutritional Products (UK) Ltd,19108/4000,2022-08-19,Mutually Recognised,Northern Ireland,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_97775.PDF
A003440,Easi-drop Flea and Tick Drops for Dogs 742 mg Cutaneous Solution,Mr H.I. Moulds & Mrs S.J. Moulds,20205/4000,2021-03-31,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 40:60),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_171720.PDF
A005716,Armitage Pet Care Flea and Tick Drops for Dogs 702 mg Spot-on Solution,Mr H.I. Moulds & Mrs S.J. Moulds,20205/4003,2021-03-31,National,United Kingdom,Permethrin (Cis:Trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_113546.PDF
A006040,Johnson’s 4Fleas Powder for Cats and Dogs 1.05% w/w Cutaneous Powder ,Bio-Tech Solutions Ltd,20889/4002,2021-03-31,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_105133.PDF
A006213,Alpha Ject 2-2 Emulsion for Injection,Pharmaq AS,21714/4000,2022-07-29,National,United Kingdom,"Aeromonas salmonicida subsp. salmonicida, Infectious pancreatic necrosis virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141072.PDF
A008297,Prilocard 1.25 mg Tablets for Dogs,aniMedica GmbH,24745/4006,2019-11-11,Mutually Recognised,,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_354611.PDF
A008298,Prilocard 2.5 mg Tablets for Dogs,aniMedica GmbH,24745/4007,2019-11-11,Mutually Recognised,,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_354614.PDF
A008299,Prilocard 5 mg Tablets for Dogs,aniMedica GmbH,24745/4008,2019-11-11,Mutually Recognised,,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_354616.PDF
A011753,Enrotron 25 mg/ml Oral Solution for Cattle,aniMedica GmbH,24745/4021,2022-02-15,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_443905.PDF
A008379,Enrotron 25 mg/ml Oral Solution for Cattle,aniMedica GmbH,24745/4021,2022-02-15,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_443905.PDF
A007075,Adocam 1.5 mg/ml Oral Suspension for Dogs,aniMedica GmbH,24745/4024,2023-04-26,National,Great Britain,Meloxicam,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_213363.PDF
A011278,Adocam 1.5 mg/ml Oral Suspension for Dogs,aniMedica GmbH,24745/4024,2023-04-26,Mutually Recognised,Northern Ireland,Meloxicam,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_213363.PDF
A011768,Enteroporc AC,IDT BIOLOGIKA GMBH ,26750/3000,2023-05-15,Mutually Recognised,Northern Ireland,Clostridium perfringens,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2344859.PDF
A009439,"Salmovac 440, Lyophilisate for Use in Drinking Water",IDT BIOLOGIKA GMBH ,26750/4010,2019-04-17,Mutually Recognised,,Salmonella enteritidis,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_940866.PDF
A009607,Enteroporc AC,IDT BIOLOGIKA GMBH ,26750/4011,2022-03-22,National,Great Britain,Clostridium perfringens,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1254460.PDF
A012645,Vetmulin 125 mg/ml Oral Solution for Use in Drinking Water for Pigs,Huvepharma N.V.,30282/4014,2022-11-29,Mutually Recognised,Northern Ireland,Tiamulin Hydrogen Fumarate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_269476.PDF
A007422,Vetmulin 125 mg/ml Oral Solution for Use in Drinking Water for Pigs,Huvepharma N.V.,30282/4014,2022-11-29,National,Great Britain,Tiamulin Hydrogen Fumarate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_269476.PDF
A008759,Gutal 1000 mg/g Premix for Medicated Feeding Stuff for Piglets,Huvepharma N.V.,30282/4021,2022-08-19,National,Great Britain,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_895631.PDF
A011973,Gutal 1000 mg/g Premix for Medicated Feeding Stuff for Piglets,Huvepharma N.V.,30282/4021,2022-08-19,Mutually Recognised,Northern Ireland,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_895631.PDF
A008481,"Amphen, 200 mg/g Granules for Use in Drinking Water for Pigs",Huvepharma N.V.,30282/4025,2020-02-18,Mutually Recognised,,Florfenicol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_486093.PDF
A012239,Parofor 175 mg/ml Solution for Injection for Pigs,Huvepharma N.V.,30282/4039,2023-02-10,Mutually Recognised,Northern Ireland,Paromomycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1465360.PDF
A010011,Parofor 175 mg/ml Solution for Injection for Pigs,Huvepharma N.V.,30282/4039,2023-02-10,National,Great Britain,Paromomycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1465360.PDF
A012236,"Paramove, 49.5% w/w Hydrogen Peroxide Concentrate for Solution for Fish Treatment",Solvay Chemicals International S.A.,31011/4000,2023-04-26,Mutually Recognised,Northern Ireland,Hydrogen Peroxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_416711.PDF
A009077,Karidox 125 mg/g Premix for Medicated Feeding Stuff for Pigs,Laboratorios Karizoo S.A,31223/4005,2019-07-19,Mutually Recognised,,Doxycycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_767726.PDF
A009413,"Colistin APSA 1,200,000 IU/g Premix for Medicated Feeding Stuff for Pigs","ANDRES PINTALUBA, S.A.",32508/4000,2020-10-07,Mutually Recognised,,Colistin Sulphate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1013258.PDF
A009724,"Apsasol Amoxicillin Trihydrate 500 mg/g Powder for Use in Drinking Water for Pigs, Chickens, Ducks and Turkeys","ANDRES PINTALUBA, S.A.",32508/4001,2021-08-17,National,Great Britain,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1160504.PDF
A011372,"Apsasol Amoxicillin Trihydrate 500 mg/g Powder for Use in Drinking Water for Pigs, Chickens, Ducks and Turkeys","ANDRES PINTALUBA, S.A.",32508/4001,2021-08-17,Mutually Recognised,Northern Ireland,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1160504.PDF
A009212,Vetpril 20 mg Film-coated Tablets for Dogs,"Vetpharma Animal Health, S.L ",32509/4020,2020-03-23,Mutually Recognised,,Benazepril Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_887673.PDF
A003839,"Clinagel-Vet, Gentamicin 0.30% w/w Eye Gel",Ecuphar NV,32742/4000,2021-04-02,National,United Kingdom,Gentamicin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138503.PDF
A008192,Acticarp 50 mg/ml Solution for Injection for Cattle,Ecuphar NV,32742/4005,2022-09-20,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_355327.PDF
A011270,Acticarp 50 mg/ml Solution for Injection for Cattle,Ecuphar NV,32742/4005,2022-09-20,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_355327.PDF
A011272,Actikor 5 mg Film-coated Tablets for Dogs,Ecuphar NV,32742/4006,2022-09-20,Mutually Recognised,Northern Ireland,Benazepril Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321972.PDF
A007957,Actikor 5 mg Film-coated Tablets for Dogs,Ecuphar NV,32742/4006,2022-09-20,National,Great Britain,Benazepril Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321972.PDF
A007958,Actikor 20 mg Film-coated Tablets for Dogs,Ecuphar NV,32742/4007,2022-09-20,National,Great Britain,Benazepril Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321962.PDF
A011271,Actikor 20 mg Film-coated Tablets for Dogs,Ecuphar NV,32742/4007,2022-09-20,Mutually Recognised,Northern Ireland,Benazepril Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321962.PDF
A007248,Pulmodox 100 mg/g Premix for Medicated Feeding Stuff for Pigs,Lavet Pharmaceuticals Ltd,32823/4000,2019-05-08,Mutually Recognised,,Doxycycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_231129.PDF
A011386,"Asperix Vet, 49.5 % w/w Hydrogen Peroxide Concentrate for Solution for Fish Treatment",Evonik Operations GmbH,33250/4000,2023-03-20,Mutually Recognised,Northern Ireland,Hydrogen Peroxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1311279.PDF
A009703,"Asperix Vet, 49.5 % w/w Hydrogen Peroxide Concentrate for Solution for Fish Treatment",Evonik Operations GmbH,33250/4000,2023-03-20,National,Great Britain,Hydrogen Peroxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1311279.PDF
A002450,Salmosan Powder for Suspension for Fish Treatment containing 50% w/w Azamethiphos,Fish Vet Group Limited,33459/4000,2019-09-18,National,United Kingdom,Azamethiphos,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135246.PDF
A012296,PIRETAMOL 300 mg/ml Solution for Use in Drinking Water for Pigs,Global Vet Health S.L.,36167/4000,2021-01-15,Mutually Recognised,Northern Ireland,Paracetamol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_324008.PDF
A007840,PIRETAMOL 300 mg/ml Solution for Use in Drinking Water for Pigs,Global Vet Health S.L.,36167/4000,2021-01-15,National,Great Britain,Paracetamol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_324008.PDF
A008098,Eimeryl 200 mg/ml Solution for Use in Drinking Water for Chicken and Turkeys,Global Vet Health S.L.,36167/4002,2022-11-29,National,Great Britain,Amprolium Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_355316.PDF
A011728,Eimeryl 200 mg/ml Solution for Use in Drinking Water for Chicken and Turkeys,Global Vet Health S.L.,36167/4002,2022-11-29,Mutually Recognised,Northern Ireland,Amprolium Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_355316.PDF
A008126,Ridaflea Spot-on Solution for Small Dog 67 mg,EU Pharmaceuticals Ltd,39787/4000,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_334900.PDF
A008127,Ridaflea Spot-on Solution for Medium Dog 134 mg,EU Pharmaceuticals Ltd,39787/4001,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_334978.PDF
A008128,Ridaflea Spot-on Solution for Large Dog 268 mg,EU Pharmaceuticals Ltd,39787/4002,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_334986.PDF
A008129,Ridaflea Spot-on Solution for Extra-Large Dog 402 mg,EU Pharmaceuticals Ltd,39787/4003,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_334996.PDF
A008125,Ridaflea Spot-on Solution Cat 50 mg,EU Pharmaceuticals Ltd,39787/4008,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_349364.PDF
A009942,Fiprene Spot-on Solution Cat 50 mg,EU Pharmaceuticals Ltd,39787/4035,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1462566.PDF
A009943,Fiprene Spot-on Solution Dog 67 mg ,EU Pharmaceuticals Ltd,39787/4036,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1462643.PDF
A009944,Fiprene Spot-on Solution Dog 134 mg,EU Pharmaceuticals Ltd,39787/4037,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1462785.PDF
A009945,Fiprene Spot-on Solution Dog 268 mg,EU Pharmaceuticals Ltd,39787/4038,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1462900.PDF
A009946,Fiprene Spot-on Solution Dog 402 mg,EU Pharmaceuticals Ltd,39787/4039,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1463398.PDF
A009952,Fipronil EU Pharmaceuticals Spot on Solution Cat 50 mg,EU Pharmaceuticals Ltd,39787/4040,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1464538.PDF
A009953,Fipronil EU Pharmaceuticals Spot-on Solution Dog 67 mg ,EU Pharmaceuticals Ltd,39787/4041,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1464606.PDF
A009954,Fipronil EU Pharmaceuticals Spot-on Solution Dog 134 mg,EU Pharmaceuticals Ltd,39787/4042,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1464806.PDF
A009955,Fipronil EU Pharmaceuticals Spot-on Solution Dog 268 mg,EU Pharmaceuticals Ltd,39787/4043,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1464881.PDF
A009956,Fipronil EU Pharmaceuticals Spot-on Solution Dog 402 mg,EU Pharmaceuticals Ltd,39787/4044,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1464987.PDF
A009957,Zerotal Spot-on Solution Cat 50 mg,EU Pharmaceuticals Ltd,39787/4055,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1466444.PDF
A009958,Zerotal Spot-on Solution Dog 67 mg ,EU Pharmaceuticals Ltd,39787/4056,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1466629.PDF
A009959,Zerotal Spot-on Solution Dog 134 mg,EU Pharmaceuticals Ltd,39787/4057,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1466543.PDF
A009960,Zerotal Spot-on Solution Dog 268 mg,EU Pharmaceuticals Ltd,39787/4058,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1466657.PDF
A009961,Zerotal Spot-on Solution Dog 402 mg,EU Pharmaceuticals Ltd,39787/4059,2023-07-19,National,United Kingdom,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1466702.PDF
A010134,"Advaprid 40 mg Spot-on Solution for Small Cats, Small Pet Rabbits & Small Dogs",EU Pharmaceuticals Ltd,39787/4060,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1635640.PDF
A010135,Advaprid 80 mg Spot-on Solution for Large Cats and Large Pet Rabbits,EU Pharmaceuticals Ltd,39787/4061,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1635689.PDF
A010136,Advaprid 100 mg Spot-on Solution for Medium Dogs ,EU Pharmaceuticals Ltd,39787/4062,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1635750.PDF
A010137,Advaprid 250 mg Spot-on Solution for Large Dogs ,EU Pharmaceuticals Ltd,39787/4063,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1635919.PDF
A010138,Advaprid 400 mg Spot-on Solution for Extra Large Dogs ,EU Pharmaceuticals Ltd,39787/4064,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1635972.PDF
A010159,"Imidaspot 40 mg Spot-on Solution for Small Cats, Small Pet Rabbits & Small Dogs",EU Pharmaceuticals Ltd,39787/4085,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1651138.PDF
A010160,Imidaspot 80 mg Spot-on Solution for Large Cats and Large Pet Rabbits,EU Pharmaceuticals Ltd,39787/4086,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1651191.PDF
A010161,Imidaspot 100 mg Spot-on Solution for Medium Dogs ,EU Pharmaceuticals Ltd,39787/4087,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1651315.PDF
A010162,Imidaspot 250 mg Spot-on Solution for Large Dogs ,EU Pharmaceuticals Ltd,39787/4088,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1651425.PDF
