VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A007380,"Bob Martin Clear Flea 11.4mg Tablets for Cats, Small Dogs and Puppies",Elanco Europe Ltd,<span>Pets Choice Ltd</span>,00879/4058,2009-01-12,National (Informed Consent),United Kingdom,Nitenpyram,N,"Cats, Dogs",AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_236460.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_356648.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_334389.PDF
A007381,Bob Martin Clear Flea 57mg Tablets for Large Dogs,Elanco Europe Ltd,<span>Pets Choice Ltd</span>,00879/4059,2009-01-12,National (Informed Consent),United Kingdom,Nitenpyram,N,Dogs,AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_236468.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357065.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_334242.PDF
A006185,Johnson's 4Fleas 11.4 mg Tablets for Cats and Kittens ,Elanco Europe Ltd,<span>Johnson's Veterinary Products Ltd</span>,00879/4060,2003-11-17,National (Informed Consent),United Kingdom,Nitenpyram,N,Cats,AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124439.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_548227.PDF
A006116,Johnson's 4Fleas 11.4 mg Tablets for Small Dogs and Puppies ,Elanco Europe Ltd,<span>Johnson's Veterinary Products Ltd</span>,00879/4061,2003-11-12,National (Informed Consent),United Kingdom,Nitenpyram,N,Dogs,AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124440.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_548355.PDF
A006113,Johnson's 4Fleas 57 mg Tablets for Dogs,Elanco Europe Ltd,<span>Johnson’s Veterinary Products Ltd</span>,00879/4062,2003-11-12,National (Informed Consent),United Kingdom,Nitenpyram,N,Dogs,AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124442.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_549503.PDF
A006755,Fasimec Duo 50 mg/ml + 1 mg/ml Oral Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4072,2007-11-20,National,United Kingdom,"Ivermectin, Triclabendazole",N,Sheep,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_198032.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_438033.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_425283.PDF
A002652,Combinex Cattle Oral Suspension,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4083,1991-08-13,National,United Kingdom,"Levamisole Hydrochloride, Triclabendazole",N,Cattle,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132007.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539477.PDF
A002862,Combinex Oral Suspension,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4084,1991-08-13,National,United Kingdom,"Levamisole Hydrochloride, Triclabendazole",N,Sheep,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_95647.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539504.PDF
A008610,MoleEcto 12.5 mg/ml Pour-on for Sheep,Elanco Europe Ltd,<span>Mole Valley Farmers Ltd</span>,00879/4085,2013-05-13,National,United Kingdom,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_470868.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_488114.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_733856.PDF
A011283,Advantage 100 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4097,1997-03-17,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126654.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_510361.PDF
A002624,Advantage 100 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4097,1997-03-17,National (Informed Consent),Great Britain,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126654.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_510361.PDF
A002622,Advantage 250 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4098,1997-03-17,National (Informed Consent),Great Britain,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126655.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513521.PDF
A011284,Advantage 250 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4098,1997-03-17,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126655.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513521.PDF
A011285,Advantage 40 mg Feline and Bunny Spot-on Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4099,2011-12-08,Mutually Recognised,Northern Ireland,Imidacloprid,N,"Cats, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_343633.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357100.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_643416.PDF
A008113,Advantage 40 mg Feline and Bunny Spot-on Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4099,2011-12-08,National,Great Britain,Imidacloprid,N,"Cats, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_343633.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357100.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_643416.PDF
A005227,"Advantage 40 mg Spot-on Solution for Small Cats, Small Dogs and Pet Rabbits ",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4100,2001-08-14,National,United Kingdom,Imidacloprid,N,"Cats, Dogs, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140587.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513648.PDF
A002621,Advantage 40 Spot-on Solution for Cats,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4101,1997-03-17,National (Informed Consent),Great Britain,Imidacloprid,N,Cats,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126657.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_588996.PDF
A011286,Advantage 40 Spot-on Solution for Cats,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4101,1997-03-17,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Cats,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126657.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_588996.PDF
A011287,Advantage 40 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4102,1997-03-17,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126658.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513739.PDF
A002623,Advantage 40 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4102,1997-03-17,National (Informed Consent),Great Britain,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126658.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513739.PDF
A003194,Advantage 400 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4103,1999-01-25,National (Informed Consent),Great Britain,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126660.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513748.PDF
A011288,Advantage 400 Spot-on Solution for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4103,1999-01-25,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126660.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513748.PDF
A011289,Advantage 80 mg Feline and Bunny Spot-on Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4104,2011-12-07,Mutually Recognised,Northern Ireland,Imidacloprid,N,"Cats, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_343631.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357100.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_643421.PDF
A008114,Advantage 80 mg Feline and Bunny Spot-on Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4104,2011-12-07,National,Great Britain,Imidacloprid,N,"Cats, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_343631.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357100.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_643421.PDF
A005889,Advantage 80 mg Spot-on Solution for Large Cats and Pet Rabbits,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4105,2003-07-23,National,United Kingdom,Imidacloprid,N,"Cats, Rabbits",NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132780.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513749.PDF
A002625,Advantage 80 Spot-on Solution for Cats,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4106,1997-03-17,National (Informed Consent),Great Britain,Imidacloprid,N,Cats,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126661.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513865.PDF
A011290,Advantage 80 Spot-on Solution for Cats,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4106,1997-03-17,Mutually Recognised (Informed Consent),Northern Ireland,Imidacloprid,N,Cats,NFA-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126661.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513865.PDF
A011291,Advantix Spot-on Solution for Dogs over 10 kg up to 25 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4107,2003-12-23,Mutually Recognised,Northern Ireland,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110674.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513895.PDF
A006154,Advantix Spot-on Solution for Dogs over 10 kg up to 25 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4107,2003-12-23,National,Great Britain,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110674.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513895.PDF
A006155,Advantix Spot-on Solution for Dogs over 25 kg up to 40 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4108,2003-12-23,National,Great Britain,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_151145.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513970.PDF
A011292,Advantix Spot-on Solution for Dogs over 25 kg up to 40 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4108,2003-12-23,Mutually Recognised,Northern Ireland,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_151145.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513970.PDF
A011293,Advantix Spot-on Solution for Dogs over 4 kg up to 10 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4109,2003-12-23,Mutually Recognised,Northern Ireland,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110673.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513972.PDF
A006153,Advantix Spot-on Solution for Dogs over 4 kg up to 10 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4109,2003-12-23,National,Great Britain,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110673.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513972.PDF
A011294,Advantix Spot-on Solution for Dogs over 40 kg up to 60 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4110,2017-11-28,Mutually Recognised,Northern Ireland,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1289442.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1475266.PDF
A009727,Advantix Spot-on Solution for Dogs over 40 kg up to 60 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4110,2017-11-28,National,Great Britain,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1289442.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1475266.PDF
A011295,Advantix Spot-on Solution for Dogs up to 4 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4111,2003-12-23,Mutually Recognised,Northern Ireland,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110672.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513979.PDF
A006152,Advantix Spot-on Solution for Dogs up to 4 kg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4111,2003-12-23,National,Great Britain,"Imidacloprid, Permethrin (Cis:Trans 40:60)",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_110672.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513979.PDF
A008803,"Baycox 25 mg/ml, Solution for Use in Drinking Water for Chickens and Turkeys",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4112,2014-07-29,National,Great Britain,Toltrazuril,N,"Chickens, Turkeys",POM-V,Solution for use in drinking water,Antiprotozoal anticoccidial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_648036.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1984111.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_782357.PDF
A011420,"Baycox 25 mg/ml, Solution for Use in Drinking Water for Chickens and Turkeys",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4112,2014-07-29,Mutually Recognised,Northern Ireland,Toltrazuril,N,"Chickens, Turkeys",POM-V,Solution for use in drinking water,Antiprotozoal anticoccidial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_648036.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1984111.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_782357.PDF
A011421,"Baycox Multi 50 mg/ml Oral Suspension for Cattle, Pigs and Sheep",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4114,2016-10-06,Mutually Recognised,Northern Ireland,Toltrazuril,N,"Cattle, Pigs, Sheep",POM-V,Oral suspension,Antiprotozoal anticoccidial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1059684.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1984148.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1227465.PDF
A009511,"Baycox Multi 50 mg/ml Oral Suspension for Cattle, Pigs and Sheep",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4114,2016-10-06,National,Great Britain,Toltrazuril,N,"Cattle, Pigs, Sheep",POM-V,Oral suspension,Antiprotozoal anticoccidial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1059684.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1984148.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1227465.PDF
A001831,Baytril 10% Oral Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4115,1993-11-11,National,United Kingdom,Enrofloxacin,N,"Chickens, Rabbits, Turkeys",POM-V,Solution for use in drinking water,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_112756.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_526261.PDF
A001827,Baytril 100 mg/ml Solution for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4116,1993-11-11,National,United Kingdom,Enrofloxacin,N,"Cattle, Goats, Pigs, Sheep",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_116856.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_526282.PDF
A001830,Baytril 2.5% Oral Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4117,1993-11-11,National,United Kingdom,Enrofloxacin,N,"Cattle, Exotic Animal, Reptiles",POM-V,Oral solution,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_116025.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_526298.PDF
A000399,Baytril 25 mg/ml Solution for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4118,1992-04-22,National,United Kingdom,Enrofloxacin,N,"Cats, Dogs, Ornamental Birds, Pigs, Rabbits, Reptiles, Rodents",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_116001.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_526357.PDF
